league_name,match_api_id,goals_marked,goals_received,venue,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11
Belgium Jupiler League,493016,1,1,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493017,2,1,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493018,3,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493019,4,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493020,0,1,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493021,2,1,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493022,3,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493023,4,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493024,1,1,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493025,1,3,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493026,0,1,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493027,2,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493028,2,3,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493029,4,3,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493030,0,1,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493031,2,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493032,2,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493033,0,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493034,2,1,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493035,2,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493036,2,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493037,0,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493038,1,0,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493039,1,4,home,1,3,3,3,3,7,7,7,7,10,10
Belgium Jupiler League,493040,0,0,home,1,3,3,3,3,7,7,7,7,10,10
