,tweet_id,retweets,likes
0,892420643555336193,8580,38777
1,892177421306343426,6305,33207
2,891815181378084864,4187,25007
3,891689557279858688,8706,42148
4,891327558926688256,9468,40311
5,891087950875897856,3136,20206
6,890971913173991426,2087,11847
7,890729181411237888,19021,65476
8,890609185150312448,4292,27768
9,890240255349198849,7464,31923
10,890006608113172480,7383,30631
11,889880896479866881,5002,27777
12,889665388333682689,10125,48097
13,889638837579907072,4574,27152
14,889531135344209921,2251,15082
15,889278841981685760,5470,25298
16,888917238123831296,4524,29066
17,888804989199671297,4375,25584
18,888554962724278272,3604,19892
19,888078434458587136,3517,21747
20,887705289381826560,5427,30177
21,887517139158093824,11741,46216
22,887473957103951883,18357,69091
23,887343217045368832,10473,33679
24,887101392804085760,5997,30522
25,886983233522544640,7821,35132
26,886736880519319552,3316,12066
27,886680336477933568,4495,22418
28,886366144734445568,3217,21194
29,886267009285017600,4,116
30,886258384151887873,6327,27977
31,886054160059072513,104,0
32,885984800019947520,6856,32695
33,885528943205470208,6479,35995
34,885518971528720385,3782,20424
35,885311592912609280,18691,0
36,885167619883638784,4407,21940
37,884925521741709313,18570,77544
38,884876753390489601,5827,27934
39,884562892145688576,4901,24291
40,884441805382717440,5688,26977
41,884247878851493888,20582,72999
42,884162670584377345,3008,20374
43,883838122936631299,3472,21889
44,883482846933004288,10032,45943
45,883360690899218434,3711,22556
46,883117836046086144,6722,37218
47,882992080364220416,3950,23941
48,882762694511734784,4960,28304
49,882627270321602560,6145,27889
50,882268110199369728,11696,44971
51,882045870035918850,5029,29346
52,881906580714921986,3422,24284
53,881666595344535552,10762,50552
54,881633300179243008,7,128
55,881536004380872706,16119,49456
56,881268444196462592,5196,23065
57,880935762899988482,2799,17004
58,880872448815771648,3853,21303
59,880465832366813184,6340,28523
60,880221127280381952,4271,27077
61,880095782870896641,4395,27626
62,879862464715927552,3524,22303
63,879674319642796034,10,313
64,879492040517615616,3210,23409
65,879415818425184262,44615,105880
66,879376492567855104,3146,16774
67,879130579576475649,6907,0
68,879050749262655488,4759,22599
69,879008229531029506,2719,18967
70,878776093423087618,4169,19393
71,878604707211726852,7312,30286
72,878404777348136964,1308,0
73,878316110768087041,6715,0
74,878281511006478336,1308,7757
75,878057613040115712,6907,42055
76,877736472329191424,19353,79973
77,877611172832227328,81,0
78,877556246731214848,3864,22765
79,877316821321428993,5226,27377
80,877201837425926144,5658,27155
81,876838120628539392,3399,20687
82,876537666061221889,4660,23458
83,876484053909872640,2429,18783
84,876120275196170240,4746,27953
85,875747767867523072,4353,25229
86,875144289856114688,4983,21950
87,875097192612077568,6112,27450
88,875021211251597312,4776,25524
89,874680097055178752,4706,27890
90,874434818259525634,14950,0
91,874296783580663808,4168,26113
92,874057562936811520,4006,22699
93,874012996292530176,10617,34778
94,873580283840344065,4005,24319
95,873337748698140672,1611,0
96,873213775632977920,1611,7282
97,872967104147763200,5490,27470
98,872820683541237760,3757,14766
99,872668790621863937,28,0
100,872620804844003328,3771,20858
101,872486979161796608,9161,40866
102,872261713294495745,6444,34406
103,872122724285648897,8277,34621
104,871879754684805121,11435,38245
105,871762521631449091,3538,20363
106,871515927908634625,3517,20330
107,871166179821445120,5801,0
108,871102520638267392,5597,21050
109,871032628920680449,3878,22813
110,870804317367881728,6345,33877
111,870726314365509632,3,120
112,870656317836468226,2704,12525
113,870374049280663552,26792,83350
114,870308999962521604,4243,21996
115,870063196459192321,8540,37004
116,869772420881756160,10285,42800
117,869702957897576449,6475,28535
118,869596645499047938,3208,16146
119,869227993411051520,3888,20650
120,868880397819494401,14894,66382
121,868639477480148993,2158,0
122,868622495443632128,5925,27563
123,868552278524837888,2158,10291
124,867900495410671616,4292,24479
125,867774946302451713,7534,34446
126,867421006826221569,2592,16381
127,867072653475098625,131,0
128,867051520902168576,8122,32746
129,866720684873056260,4984,20412
130,866686824827068416,3603,19649
131,866450705531457537,36398,124331
132,866334964761202691,14950,53499
133,866094527597207552,8662,0
134,865718153858494464,5795,26053
135,865359393868664832,5175,26954
136,865006731092295680,7936,28514
137,864873206498414592,9034,32925
138,864279568663928832,3156,14901
139,864197398364647424,9284,30778
140,863907417377173506,4292,21037
141,863553081350529029,4333,15594
142,863471782782697472,2573,0
143,863432100342583297,5480,24296
144,863427515083354112,101,2310
145,863079547188785154,1144,8949
146,863062471531167744,2573,8724
147,862831371563274240,5278,19608
148,862722525377298433,3679,17450
149,862457590147678208,5164,21007
150,862096992088072192,24266,76364
151,861383897657036800,11138,36896
152,861288531465048066,4339,17607
153,861005113778896900,3976,17133
154,860981674716409858,2254,0
155,860924035999428608,853,0
156,860563773140209665,2254,7687
157,860524505164394496,5507,24198
158,860276583193509888,3631,18760
159,860184849394610176,6102,17105
160,860177593139703809,32316,0
161,859924526012018688,4289,20033
162,859851578198683649,3661,15801
163,859607811541651456,1648,19080
164,859196978902773760,31687,92482
165,859074603037188101,14252,34836
166,858860390427611136,8517,0
167,858843525470990336,3638,15966
168,858471635011153920,5078,22126
169,858107933456039936,3055,16182
170,857989990357356544,2714,16584
171,857746408056729600,11143,35276
172,857393404942143489,1717,6102
173,857263160327368704,4760,20612
174,857214891891077121,20,235
175,857062103051644929,178,0
176,857029823797047296,4212,19504
177,856602993587888130,11271,0
178,856543823941562368,3037,16798
179,856526610513747968,1985,12200
180,856330835276025856,713,0
181,856288084350160898,17,532
182,856282028240666624,6669,28558
183,855862651834028034,28,360
184,855860136149123072,1096,5131
185,855857698524602368,2239,12227
186,855851453814013952,18683,46934
187,855818117272018944,5762,27501
188,855459453768019968,8719,31002
189,855245323840757760,6333,0
190,855138241867124737,49,0
191,854732716440526848,6485,23684
192,854482394044301312,7321,30433
193,854365224396361728,4990,19617
194,854120357044912130,7982,33204
195,854010172552949760,3346,16821
196,853760880890318849,6182,29765
197,853639147608842240,10845,36365
198,853299958564483072,3804,16189
199,852936405516943360,2166,0
200,852912242202992640,1970,9438
201,852672615818899456,2302,15587
202,852553447878664193,3761,17109
203,852311364735569921,10606,34648
204,852226086759018497,7316,20918
205,852189679701164033,1693,11976
206,851953902622658560,10356,0
207,851861385021730816,23,0
208,851591660324737024,3717,16961
209,851464819735769094,7596,25407
210,851224888060895234,6157,21668
211,850753642995093505,10009,32580
212,850380195714523136,2806,13694
213,850333567704068097,357,3582
214,850145622816686080,4117,17147
215,850019790995546112,5280,21486
216,849776966551130114,8204,32013
217,849668094696017920,5355,0
218,849412302885593088,3384,16683
219,849336543269576704,2043,12024
220,849051919805034497,9212,44665
221,848690551926992896,4665,26545
222,848324959059550208,4972,26074
223,848213670039564288,808,8617
224,848212111729840128,3333,17235
225,847978865427394560,3526,0
226,847971574464610304,465,0
227,847962785489326080,5542,24777
228,847842811428974592,1460,5795
229,847617282490613760,455,7400
230,847606175596138505,3666,19789
231,847251039262605312,4646,21555
232,847157206088847362,6345,21109
233,847116187444137987,3456,22623
234,846874817362120707,4258,21209
235,846514051647705089,12602,47263
236,846505985330044928,3363,14965
237,846153765933735936,9840,33561
238,846139713627017216,10678,32623
239,846042936437604353,3129,16921
240,845812042753855489,9502,31010
241,845677943972139009,5197,26576
242,845397057150107648,1982,8079
243,845306882940190720,5862,24700
244,845098359547420673,8361,0
245,844979544864018432,2820,14455
246,844973813909606400,3498,16034
247,844704788403113984,11271,41075
248,844580511645339650,3418,17468
249,844223788422217728,2387,14441
250,843981021012017153,3180,16018
251,843856843873095681,5038,22708
252,843604394117681152,2986,17912
253,843235543001513987,6607,22805
254,842846295480000512,3905,16143
255,842765311967449089,1395,7165
256,842535590457499648,3816,19207
